sample	Bcell_to_Bcell_median	Bcell_to_CD4_Tcell_median	Bcell_to_Macrophage_median	Bcell_to_Treg_median	Bcell_to_CD8_Tcell_median	Bcell_to_tumor_median	Bcell_to_negative_median	CD4_Tcell_to_Bcell_median	CD4_Tcell_to_CD4_Tcell_median	CD4_Tcell_to_Macrophage_median	CD4_Tcell_to_Treg_median	CD4_Tcell_to_CD8_Tcell_median	CD4_Tcell_to_tumor_median	CD4_Tcell_to_negative_median	Macrophage_to_Bcell_median	Macrophage_to_CD4_Tcell_median	Macrophage_to_Macrophage_median	Macrophage_to_Treg_median	Macrophage_to_CD8_Tcell_median	Macrophage_to_tumor_median	Macrophage_to_negative_median	Treg_to_Bcell_median	Treg_to_CD4_Tcell_median	Treg_to_Macrophage_median	Treg_to_Treg_median	Treg_to_CD8_Tcell_median	Treg_to_tumor_median	Treg_to_negative_median	CD8_Tcell_to_Bcell_median	CD8_Tcell_to_CD4_Tcell_median	CD8_Tcell_to_Macrophage_median	CD8_Tcell_to_Treg_median	CD8_Tcell_to_CD8_Tcell_median	CD8_Tcell_to_tumor_median	CD8_Tcell_to_negative_median	tumor_to_Bcell_median	tumor_to_CD4_Tcell_median	tumor_to_Macrophage_median	tumor_to_Treg_median	tumor_to_CD8_Tcell_median	tumor_to_tumor_median	tumor_to_negative_median	negative_to_Bcell_median	negative_to_CD4_Tcell_median	negative_to_Macrophage_median	negative_to_Treg_median	negative_to_CD8_Tcell_median	negative_to_tumor_median	negative_to_negative_median	sample_type	pt_number
30 Cystectomy	8.800134886839398	132.92683938909886	15.932244456857305	40.5375698997678	11.409151376198581	11.037113152961222	34.00420569939835	22.700221020990693	21.80499085454711	16.71085000193253	30.31158983027719	9.982697409352175	11.679693770924874	15.1498665593205	22.158616823941166	122.3940990028734	10.305706795530803	41.766221535892484	10.290312433570518	10.970320876314663	32.079274661860175	19.371463788086757	86.30426609807341	13.824429022505432	34.01151683670023	9.306967472389337	9.76652526946341	24.423130754865028	20.942162812946574	104.35579662392684	13.883034997565737	39.33053034735247	8.522051322982339	10.419911053919197	26.685752245585068	19.819467026999188	135.17138793469647	15.052009897146025	45.090469648748844	10.575487799168531	9.062718994639113	36.304724605332005	29.020620373760963	74.69142769117008	16.301192798563875	41.4534523640816	11.531685776948047	13.061955586268716	10.055909775655318	Cystectomy	30
31 Cystectomy	12.639953683772163	19.952236182577526	14.949633420926036	21.465295147327346	11.012238469783645	16.71878054730253	12.234138580283759	63.99119978993373	18.17827943514674	18.64357962735181	26.015618735062127	12.827243682207369	16.413688706352875	10.446085559931676	77.77662701465506	36.19732721159809	13.591326109774855	37.652702651630264	14.960388639332585	12.443198625761509	13.498326500678273	50.12910347774002	21.888463643301204	15.897779510788029	21.293752231132416	11.237356610372482	15.922689887221145	10.884301576296645	76.71691235480844	31.05985299906087	21.41697969792458	34.45942667790296	10.305726112828065	10.487345878469124	14.533180527645955	175.03642515813868	94.54237519175197	59.59152209146655	120.62283012025465	33.58395907561489	8.941670460773286	60.58274851533735	90.73920334520763	31.123958589182195	23.68281180448602	42.294261706083525	20.18946773226488	17.959815601959424	8.85739503982586	Cystectomy	31
32 Cystectomy	31.18551064388853	42.12501389482806	30.359915081856563	50.824436153110454	23.9994798251433	47.831472182377226	10.750381878667763	98.57972243532215	23.652161522339412	35.71753814880079	48.11685356558186	26.970687257596804	44.64037252208934	10.43027051826118	102.79972755838254	49.1748256470661	26.17143577795708	61.45266266167993	22.58889818347675	28.868891013588563	10.677593950553284	90.52085452581782	37.20157720612191	32.59675573313707	52.25941496038915	25.770608155926794	29.608374937691593	10.484222943420928	90.39308871688513	42.22907543682134	26.035851018283147	60.190254154784576	13.819816981608371	34.168455714813824	10.836611018712476	142.23689344771776	81.30020242210415	44.81524348669412	88.54302406289759	47.119995342676425	9.774352221901783	27.46596504953407	102.70908153895391	49.42280572866938	33.96557891813817	65.60002211913745	29.29946369688337	44.9463292987724	9.979281734494455	Cystectomy	32
33 Cystectomy	8.279782784467278	13.748219942403392	21.641776555427366	15.245183504597929	13.18473586551893	26.15542673146233	12.222670147579025	22.323568621518675	9.123729542096424	27.131726248296197	14.126791538579008	12.642821192119701	26.105958358674215	11.224323863234893	28.5714145404832	21.87230610443413	14.043645956369783	18.529223953266058	13.319092187273805	11.55770522587741	14.924472297393828	21.967469866731548	12.62979591326363	21.87010444402845	12.20321698310955	12.769086212925082	19.70599638530099	10.656615075126414	25.515620103463668	16.667310701301055	22.06555797948739	18.087452954785633	8.361685780403954	17.17422809104108	13.28098075533858	39.82524192214672	34.4475308995026	23.074731611158725	30.789147603525	16.898008376324565	8.572836374191208	29.744862151037054	27.037477734817276	15.971143626131989	26.24371934315202	16.62676201822065	14.954139329081539	23.754298222934047	8.451821428972924	Cystectomy	33
34 Cystectomy	28.462747536794854	35.23002053742547	29.13332274121193	35.26733663677963	11.361987683611906	16.483835277472142	10.160909940767109	100.86768361271052	34.19801074641743	42.94781994765886	47.590154047913614	15.347687269426569	12.229903262203242	9.806711259439497	105.11058520809186	50.8412477693226	14.362419077647449	54.67633299892756	15.452802371041196	11.653157884031925	12.158261846484244	91.62791217638906	33.942284280197796	34.11614307806394	41.282286283921074	13.72323409796389	14.79382456080554	10.323383754600153	92.00730470966471	41.110051934917884	32.118127792663536	48.28633706178075	10.441085426248007	11.689785610386513	11.28921781522158	184.3665929071105	80.31578503395147	72.4469144600018	120.85080138585118	38.34652532333117	8.71669596805658	23.46443333891721	116.7569670345063	42.9927584511061	49.44014637124975	56.03528962947809	19.562228670252324	13.22815227222759	9.096388510392531	Cystectomy	34
35 Cystectomy	14.540040599068012	12.975477887291389	25.093433814780198	30.43859887798543	11.388275113590963	17.63120750907615	10.35772956293301	69.63671394486039	10.560672525179061	29.811593914941056	27.964084228532993	15.925060354194558	15.430483857919201	9.782338850558034	118.3108535777627	35.644544375773975	15.356536947310694	47.86262581500842	28.214553098004888	14.91448432912849	9.954221913128132	94.4494628580498	13.996392539619638	28.011366369536915	22.8920985864831	19.259149207205777	14.147800980177138	10.040909639731302	60.46025473552231	16.801890558029662	26.149733675416684	32.571691876610515	8.073753383078795	14.98659299932489	10.590045998485655	188.45870765793242	90.2940555535914	62.750400238759006	100.57644771636862	76.30740932694378	8.359007637970185	25.71541055707844	125.66940877782571	37.156853732002894	35.4490263443397	51.49425949567856	35.48684349069518	17.65299574883399	8.64350654408222	Cystectomy	35
36 Cystectomy	13.121433562385736	19.650447001470592	70.13551090215708	44.2696269862734	26.748259498158728	57.50708245793508	10.183648178578434	83.46490252304066	24.890947899797293	95.54736068676895	57.678357404702744	44.06948325029	48.53158580087975	9.612527400979369	112.61817302461668	53.92419885659379	36.31999041647645	68.95740123329796	69.82736768087165	41.53097472506288	10.173978267601163	112.7858201754229	43.965882894025164	97.97515635452582	61.7659452977975	67.29507771485221	48.19318362303254	9.54847223914064	67.0368517237587	27.078326613823116	86.04783577768329	51.29010821539771	17.301134990144508	47.60891401204484	10.03856320082911	198.24978449789342	103.76436001689393	147.72609698887356	124.57522958107393	142.1545753364898	9.246392156666337	19.751096947416418	165.80535932620452	75.6851307659118	128.6092276690029	96.59113036574303	106.39988855626375	42.37590420046285	8.812102562930832	Cystectomy	36
37 Cystectomy	7.945187056439356	16.058949483468144	24.57163547519051	20.63848361271354	24.061487206531318	10.946098319839432	10.016171537008148	32.09023158975732	12.652998467758527	25.341868983305424	21.167513342003794	25.156395619095093	8.704048152688923	9.792913605550414	62.367807167640045	36.242332271433085	10.066704221228488	40.681196945180865	41.50317705877511	9.80167814492401	10.639548559812921	35.94507044770642	16.82658545062987	25.20080563142706	21.76676781569177	32.1884889557082	7.974680492556206	10.774630185481106	33.87861724511562	18.64908103277457	22.750175284741246	27.191781458925853	8.233991506257752	10.158399017022772	10.173193913491264	69.04882651378914	71.62299097945888	43.05929721461539	73.12218955784574	89.65510316761186	7.5023717754964165	31.005434321876116	49.88369567816186	26.64297627829067	22.58221543250376	33.25460124770931	36.50425744161977	10.516578912529742	7.831121311576539	Cystectomy	37
39 Cystectomy	113.55116988524921	44.61771958416909	14.973117853937435	71.37604922163607	32.00642104269405	45.513403349032345	9.68916480219403	127.6788991049454	39.865420416860395	19.54872642333017	62.79753355370662	33.641739040638484	28.114405176510434	9.424259415995632	185.61635103673908	131.27019806688756	13.032963000642173	131.14011706043993	74.60468417088744	10.999738919734025	10.626295799395098	163.75438025682723	66.66355930768094	19.614788405500644	61.660861957200076	36.94825801160515	18.855661961766305	9.623211335114311	143.16579281087198	74.0655952349275	21.549570162311575	72.36070972701398	15.716688951947864	18.659314245729032	10.41005077827238	233.75982433636963	169.64962988536917	38.760387391269184	167.8224380370332	111.71135815953127	8.764545119071412	18.380820861962754	195.94620671099534	128.83955457734655	30.436190764932235	126.45649222638907	76.39522426761086	13.917715433769288	8.621293350554952	Cystectomy	39
4 Cystectomy	36.02229040978562	28.48336002798792	15.884427497702283	25.112274876014855	46.49979940829359	127.48684456547456	13.462365366485663	64.54241363684292	29.17326982628196	18.576862684028082	34.29558944247813	51.69628823105853	75.27439762704533	13.622093226513677	91.28789317279494	45.905096120068855	14.394994558907054	39.00392351283981	52.303306487612204	42.10857361304287	13.170262828314398	80.09855791452637	42.568593846879764	19.68917427858179	35.195381735264455	47.66106770960872	57.582519187950595	11.45388142404753	101.88687544389029	48.7264129510539	17.953018223240665	44.78962388638256	35.442865075527266	53.19040113351065	12.556225646902258	201.36997288968297	79.3550965466501	50.54179679760012	82.04282750040774	95.2619035251628	8.849640018713343	28.439732156325615	112.71628948842312	61.174792742400825	25.649915896296843	47.06185542688404	58.84795881310212	35.98778861080298	10.975440497545792	Cystectomy	4
