	CD8_T_EFFECTOR	IFNG_signature	TGFB_Mariathasan
59 Cystectomy	0.19302698263745002	0.3308880173274766	0.7766141848928663
29 TUR	0.17277141203373952	0.3325168207292418	0.7699539352907687
56 Cystectomy	0.28283896216727245	0.45420005773343625	0.7803768527932764
66 TUR	0.33715273047262556	0.4777428973675517	0.6116769116645083
59 TUR	0.3353041367421667	0.4810114252351124	0.782284016729434
36 TUR	0.20614683003279044	0.40944915756169503	0.815906981115331
32 TUR	0.24116795479018008	0.37640722425318196	0.5668982103091356
39 TUR	0.5511979384861845	0.6457891946016164	0.7910493747630125
5 TUR	0.2877913700400983	0.4188379288153194	0.8329982315718707
47 Cystectomy	0.18662186100726355	0.4402157058091112	0.7816105863070597
47 TUR	0.3414221964085729	0.60052283356178	0.7478583149644263
60 TUR	0.20014596720944572	0.4506974488814172	0.6860508106896699
1 TUR	0.5157231806012071	0.6484138418469819	0.7848005168195825
32 Cystectomy	0.43161531566003847	0.558645006658163	0.843877974991831
41 Cystectomy	0.5870349950062229	0.6630576234503155	0.761754442976509
25 TUR	0.18682542375257918	0.3177706186635001	0.7322479412219001
70 Cystectomy	0.30578640472059254	0.4932629050474704	0.8264544859888867
69 Cystectomy	0.3854040701336563	0.5018214044081107	0.6901413509924814
48 TUR	0.4092811762714657	0.5640228753424089	0.7107786329811487
42 Cystectomy	0.3052428194738193	0.4602008773482095	0.8569795688428519
34 Cystectomy	0.6724302357812673	0.7072408532657621	0.772372384166741
88 Cystectomy	0.370249158982183	0.44608376962823265	0.8156921964770958
50 TUR	0.4148481361146245	0.5210776302136544	0.7273819671125126
54 Cystectomy	0.3385036636026215	0.46337396171144224	0.8699922885102324
10 TUR	0.32488169355181473	0.49529455140694	0.7969191366476344
26 TUR	0.21443983331582314	0.38943934729530977	0.8451361415053361
24 Cystectomy	0.5080162303701832	0.6267531027302427	0.7825440167388511
39 Cystectomy	0.25147274889153676	0.3518224635528107	0.7619935455397537
37 TUR	0.29388414653192013	0.434456359475674	0.8813841244249584
98 TUR	0.6748178702308482	0.7016327957016407	0.7444648388060652
7 Cystectomy	0.22936241637682686	0.3388930282403312	0.6948927635072683
2 Cystectomy	0.24351743713113735	0.3604150286113201	0.8103545110926103
62 Cystectomy	0.46212045439373933	0.5760610728094226	0.7869076036821127
43 TUR	0.14688491286664862	0.3577981880168977	0.768793620222283
61 Cystectomy	0.18813930854282926	0.3776742620669945	0.8033236419473819
80 Cystectomy	0.18442834647331627	0.36546986579054125	0.7911275063430268
65 TUR	0.18404946847991002	0.3507375762481762	0.5369531730666395
17 TUR	0.35854592947621455	0.4691652650829482	0.7743790802282676
89 TUR	0.18032779638747715	0.32748768346038215	0.7485463306151859
79 TUR	0.6272597727868074	0.6718911236309826	0.617775852685285
8 Cystectomy	0.475056874671349	0.5646939800489366	0.7583736590951139
14 TUR	0.2928036575159574	0.49516985200138336	0.8410938989507157
