	B_cells	CD4_Tcells	Macrophages	Tregs	CD8_Tcells	PanCK+_cells	Negative_cells	Total	non_panck	FoxP3_over_CD8	CD8_over_CD68	FoxP3_over_CD4	sample_type	pt_number
14 Cystectomy	-2.729736720670576	-1.09414107261982	-2.0482871386126997	-3.409147946029477	-1.602532401929084	-0.4146330336313736	-0.3024051439284342	0.0	-0.2110636721976487	-1.8066155441003928	0.4457547366836153	-2.315006873409657	Cystectomy	14
15 TUR	-3.0561804233421404	-2.713757742519934	-3.579059168622478	-3.579059168622478	-2.443396566622405	-0.0443563277478317	-1.0425007260509478	0.0	-1.0124252963734608	-1.1356626020000733	1.1356626020000733	-0.865301426102544	TUR	15
15 Cystectomy	-2.077337869010412	-1.2444596358210886	-1.8756925054823423	-2.848369378271108	-1.6765359423579675	-0.2727028788042581	-0.4372426286399224	0.0	-0.331302284201933	-1.1718334359131397	0.1991565631243746	-1.6039097424500188	Cystectomy	15
16 TUR	-2.0870751767986206	-2.3714452592245787	-1.5440481904344383	-2.576500214215576	-1.6915681967975822	-0.0702751911575436	-1.0671586212267543	0.0	-0.8255132871981448	-0.8849320174179942	-0.1475200063631437	-0.2050549549909977	TUR	16
16 Cystectomy	-2.108658967898531	-2.009342885124596	-1.0195883304307445	-1.8843741568390693	-1.1754072539193343	-0.2926364357615308	-0.5268443723413856	0.0	-0.3095865842342061	-0.7089669029197352	-0.1558189234885899	0.1249687282855261	Cystectomy	16
17 TUR	-2.279545759622576	-1.1426870622437797	-1.4819299914802886	-2.532217233103217	-1.4786409427055929	-0.2206576308092486	-0.5985976889565514	0.0	-0.3997294615476299	-1.0535762903976242	0.003289048774696	-1.3895301708594372	TUR	17
17 Cystectomy	-1.843395465675077	-1.5040009980415403	-0.4213516832553377	-1.9565097477678608	-0.8728650042410281	-0.7382651224203296	-0.6053653524758467	0.0	-0.0875691426597185	-1.0836447435268326	-0.4515133209856903	-0.4525087497263203	Cystectomy	17
18 TUR	-2.796863834243783	-2.110014462583617	-1.5175339331519893	-1.727165193962123	-1.433579695411175	-0.1322434195748268	-0.7767383311298738	0.0	-0.5808493395419667	-0.2935854985509482	0.0839542377408141	0.382849268621494	TUR	18
18 Cystectomy	-2.549252796760761	-2.3334176949040404	-1.3114803266642308	-2.1061424370841024	-2.003367461794626	-0.1797019958714855	-0.5770324589158902	0.0	-0.469987156420832	-0.1027749752894762	-0.6918871351303953	0.2272752578199382	Cystectomy	18
19 TUR	-3.790130282632941	-2.6695563514270915	-4.011979032249298	-3.710949036585317	-3.074126938998142	-0.1709116928171639	-0.4920198514972291	0.0	-0.4876261902772273	-0.6368220975871743	0.9378520932511556	-1.041392685158225	TUR	19
19 Cystectomy	-2.3356225698380366	-0.8645711092412223	-1.2374866945902376	-1.8298796226317584	-1.364845200519296	-0.3383823669862849	-0.5464226727639543	0.0	-0.2666354317504251	-0.4650344221124624	-0.1273585059290581	-0.965308513390536	Cystectomy	19
2 TUR	-3.211107557338678	-2.727995938929828	-1.573798543487906	-2.7806383238397205	-3.057716188378173	-0.1812223531256559	-0.5093537393810712	0.0	-0.4670319932352627	0.2770778645384528	-1.4839176448902671	-0.0526423849098924	TUR	2
2 Cystectomy	-2.5695584960147304	-1.494771498065198	-1.585640733026601	-1.815888055477312	-1.7051854750216855	-0.2389472742996294	-0.484758373484269	0.0	-0.3734886964264063	-0.1107025804556267	-0.1195447419950845	-0.3211165574121143	Cystectomy	2
21 TUR	-2.2043837263056694	-1.2650044557936304	-1.690693268957347	-2.8358274953188416	-0.8707575612520193	-0.1910660132382192	-0.8572270438024842	0.0	-0.4486228175642448	-1.9650699340668225	0.8199357077053278	-1.570823039525211	TUR	21
21 Cystectomy	-1.9908673632835283	-1.1506212784584535	-1.006002558152345	-2.0453160106757258	-1.1236781682631682	-0.4219930642281423	-0.446312223231784	0.0	-0.2065173655273652	-0.9216378424125576	-0.1176756101108232	-0.8946947322172722	Cystectomy	21
22 TUR	-2.245204633784313	-2.365310503827436	-1.838805969563556	-2.2586652509781224	-1.553152136620091	-0.0894995523384839	-0.8919304301911709	0.0	-0.7299427440244317	-0.7055131143580311	0.2856538329434649	0.106645252849313	TUR	22
22 Cystectomy	-3.586242575400438	-2.78876294489657	-1.918479559802	-2.749115584854513	-2.673740111907213	-0.3607663921384128	-0.2624856379647639	0.0	-0.2485251388115355	-0.0753754729473003	-0.7552605521052134	0.0396473600420564	Cystectomy	22
23 TUR	-2.3088587479045604	-1.714299711291024	-2.815882523718822	-2.000664100482096	-1.5925613107077063	-0.1106860463047932	-0.785810057608592	0.0	-0.6478411325971304	-0.4081027897743896	1.2233212130111155	-0.2863643891910716	TUR	23
23 Cystectomy	-3.5642199407792488	-2.167971388349105	-1.5134366726299953	-2.3021186474064144	-2.3259142215331856	-0.3158069338810216	-0.3285514163636736	0.0	-0.2867386258331121	0.023795574126771	-0.8124775489031902	-0.1341472590573093	Cystectomy	23
25 TUR	-2.406491206297203	-1.6944011764546898	-2.1648429011389143	-2.424914289123989	-2.0066129978042437	-0.1662371061305193	-0.5630017029778196	0.0	-0.4975097040699047	-0.4183012913197453	0.1582299033346706	-0.7305131126692991	TUR	25
25 Cystectomy	-3.2972924553542744	-2.2262830123191537	-1.5759374962560686	-1.84274845748589	-2.0305843040974687	-0.4114032718956962	-0.255274234244187	0.0	-0.2130973046773156	0.1878358466115786	-0.4546468078414002	0.3835345548332635	Cystectomy	25
26 TUR	-2.741175608276669	-2.222468175643564	-1.1828755339564698	-2.329584194192013	-1.853111800618644	-0.7273518278263541	-0.142355226007785	0.0	-0.090094167765216	-0.476472393573369	-0.6702362666621744	-0.10711601854845	TUR	26
26 Cystectomy	-1.5892788759335026	-2.253158978167317	-1.5880353005761492	-2.5736146380637352	-1.8653203359424253	-0.4405890058727436	-0.2487391935916563	0.0	-0.1955764461478772	-0.7082943021213098	-0.2772850353662761	-0.3204556598964181	Cystectomy	26
27 TUR	-2.3083282333709465	-1.9382444967908976	-1.0559917277634334	-1.4570698846518717	-1.480189616481025	-0.6635126521416723	-0.2141768791034924	0.0	-0.1062400888638392	0.0231197318291537	-0.4241978887175917	0.4811746121390264	TUR	27
27 Cystectomy	-1.849878859451939	-1.2753917304428972	-1.093336931066837	-1.5888584892771007	-1.0175637274103868	-0.3857432571223679	-0.4962450268481185	0.0	-0.230173790496355	-0.5712947618667139	0.0757732036564502	-0.3134667588342034	Cystectomy	27
3 TUR	-1.341572133257923	-1.125073139449304	-1.1396232170379674	-1.9474634284079355	-0.5913609674869911	-0.5264759442138479	-0.6162838098233399	0.0	-0.1533674899126745	-1.3561024609209442	0.5482622495509761	-0.8223902889586314	TUR	3
3 Cystectomy	-2.616322275692038	-1.7386473966976512	-1.2171257684059682	-1.665197891251694	-1.2821194191342145	-0.5755019302347797	-0.2372521543390681	0.0	-0.1341621406917874	-0.3830784721174797	-0.0649936507282461	0.073449505445957	Cystectomy	3
30 TUR	-3.786499307446445	-2.4157501934326158	-1.5013301426077754	-2.2454367732358937	-1.6954997952215205	-0.1116255024773921	-0.781688904969924	0.0	-0.6446280410294233	-0.5499369780143735	-0.1941696526137449	0.1703134201967213	TUR	30
30 Cystectomy	-0.976703434064228	-2.1778303347016466	-0.8080531888984547	-1.7933873863830925	-0.4956112314878718	-0.4837334579662546	-1.1644552486548287	0.0	-0.1728189011344107	-1.2977761548952207	0.3124419574105829	0.3844429483185541	Cystectomy	30
31 TUR	-2.7030046204443914	-2.289504528731708	-1.67909246303898	-2.2142056647363293	-1.981676286771583	-0.1085078302197009	-0.7530931965828246	0.0	-0.6554236488721896	-0.2325293779647463	-0.3025838237326028	0.0752988639953789	TUR	31
31 Cystectomy	-2.534022392979133	-1.8532046509875704	-1.47013402783274	-2.0318189549489736	-1.155029815287308	-0.1223928431979599	-0.937232449000524	0.0	-0.6097733428960922	-0.8767891396616658	0.3151042125454319	-0.1786143039614033	Cystectomy	31
